region	sample_count
USA	273850
USA	189559
USA	164629
USA	57905
USA	40258
USA	23959
USA	20150
USA	16973
USA	12527
USA	11263
USA	10442
USA	8903
USA	8073
USA	7740
USA	7044
USA	7001
USA	5404
USA	4105
USA	4080
USA	3349
USA	2825
USA	2289
USA	2014
USA	1843
USA	1758
USA	1432
USA	1395
USA	1343
USA	1294
USA	1262
USA	1261
USA	1167
USA	1094
USA	1070
USA	963
USA	868
USA	771
USA	743
USA	698
USA	679
USA	675
USA	665
USA	618
USA	572
USA	543
USA	538
USA	537
USA	524
USA	523
USA	520
USA	516
USA	511
USA	495
USA	495
USA	481
USA	458
USA	404
USA	393
USA	389
USA	381
USA	380
USA	362
USA	357
USA	357
USA	354
USA	353
USA	348
USA	345
USA	343
USA	333
USA	323
USA	320
USA	317
USA	314
USA	305
USA	301
USA	300
USA	297
USA	290
USA	290
USA	289
USA	277
USA	275
USA	270
USA	269
USA	266
USA	264
USA	261
USA	261
USA	247
USA	245
USA	241
USA	235
USA	235
USA	230
USA	228
USA	223
USA	222
USA	221
USA	221
USA	220
USA	215
USA	206
USA	203
USA	192
USA	191
USA	189
USA	188
USA	187
USA	186
USA	183
USA	181
USA	180
USA	179
USA	179
USA	178
USA	177
USA	177
USA	174
USA	171
USA	171
USA	168
USA	166
USA	165
USA	164
USA	162
USA	162
USA	161
USA	160
USA	159
USA	159
USA	159
USA	157
USA	157
USA	157
USA	155
USA	154
USA	149
USA	148
USA	146
USA	145
USA	145
USA	143
USA	142
USA	141
USA	139
USA	138
USA	137
USA	137
USA	134
USA	133
USA	131
USA	130
USA	129
USA	127
USA	126
USA	125
USA	125
USA	124
USA	124
USA	124
USA	123
USA	122
USA	121
USA	119
USA	119
USA	117
USA	117
USA	117
USA	114
USA	114
USA	113
USA	113
USA	112
USA	111
USA	110
USA	110
USA	108
USA	108
USA	107
USA	107
USA	106
USA	106
USA	105
USA	104
USA	102
USA	102
USA	101
USA	100
USA	99
USA	98
USA	98
USA	98
USA	98
USA	98
USA	97
USA	97
USA	96
USA	96
USA	96
USA	96
USA	95
USA	94
USA	94
USA	93
USA	92
USA	92
USA	92
USA	92
USA	91
USA	90
USA	90
USA	90
USA	90
USA	90
USA	89
USA	88
USA	88
USA	88
USA	87
USA	87
USA	87
USA	87
USA	84
USA	83
USA	83
USA	83
USA	83
USA	82
USA	82
USA	82
USA	82
USA	82
USA	82
USA	82
USA	80
USA	80
USA	79
USA	79
USA	79
USA	79
USA	79
USA	78
USA	78
USA	78
USA	78
USA	77
USA	77
USA	77
USA	77
USA	75
USA	75
USA	75
USA	75
USA	73
USA	72
USA	72
USA	72
USA	72
USA	72
USA	72
USA	71
USA	71
USA	71
USA	71
USA	71
USA	71
USA	71
USA	71
USA	71
USA	70
USA	70
USA	70
USA	70
USA	69
USA	69
USA	69
USA	68
USA	67
USA	67
USA	66
USA	66
USA	66
USA	66
USA	65
USA	65
USA	65
USA	65
USA	64
USA	64
USA	64
USA	64
USA	64
USA	64
USA	63
USA	63
USA	63
USA	63
USA	62
USA	62
USA	62
USA	62
USA	62
USA	60
USA	60
USA	60
USA	60
USA	60
USA	60
USA	59
USA	59
USA	59
USA	59
USA	59
USA	59
USA	59
USA	59
USA	59
USA	58
USA	58
USA	58
USA	58
USA	57
USA	57
USA	57
USA	57
USA	57
USA	56
USA	56
USA	55
USA	55
USA	54
USA	54
USA	53
USA	53
USA	53
USA	53
USA	53
USA	53
USA	52
USA	52
USA	52
USA	52
USA	51
USA	51
USA	51
USA	51
USA	51
USA	51
USA	50
USA	50
USA	50
USA	50
USA	50
USA	49
USA	49
USA	49
USA	49
USA	49
USA	49
USA	49
USA	49
USA	48
USA	48
USA	48
USA	48
USA	48
USA	48
USA	48
USA	47
USA	47
USA	47
USA	47
USA	47
USA	47
USA	47
USA	47
USA	47
USA	46
USA	46
USA	46
USA	46
USA	46
USA	46
USA	46
USA	46
USA	46
USA	45
USA	45
USA	45
USA	45
USA	45
USA	45
USA	44
USA	44
USA	44
USA	44
USA	44
USA	44
USA	43
USA	43
USA	43
USA	43
USA	43
USA	42
USA	42
USA	42
USA	42
USA	42
USA	42
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	40
USA	40
USA	40
USA	40
USA	40
USA	40
USA	40
USA	39
USA	39
USA	39
USA	39
USA	39
USA	39
USA	39
USA	39
USA	39
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	35
USA	35
USA	35
USA	35
USA	35
USA	35
USA	35
USA	35
USA	35
USA	35
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	33
USA	33
USA	33
USA	33
USA	33
USA	33
USA	33
USA	33
USA	33
USA	33
USA	33
USA	32
USA	32
USA	32
USA	32
USA	32
USA	32
USA	32
USA	32
USA	32
USA	32
USA	32
USA	32
USA	32
USA	31
USA	31
USA	31
USA	31
USA	31
USA	31
USA	31
USA	31
USA	31
USA	31
USA	30
USA	30
USA	30
USA	30
USA	30
USA	30
USA	30
USA	30
USA	30
USA	30
USA	30
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	29
USA	28
USA	28
USA	28
USA	28
USA	28
USA	28
USA	28
USA	28
USA	28
USA	28
USA	28
USA	28
