cluster_id	sample_count
USA	254204
USA	156785
USA	101086
USA	91279
USA	64531
USA	39489
USA	17360
USA	15514
USA	12241
USA	10692
USA	7708
USA	7695
USA	6693
USA	5033
USA	5000
USA	4796
USA	3809
USA	3752
USA	3699
USA	3148
USA	2175
USA	1961
USA	1904
USA	1842
USA	1794
USA	1751
USA	1642
USA	1574
USA	1565
USA	1312
USA	1287
USA	1265
USA	1240
USA	1209
USA	1139
USA	1125
USA	1065
USA	1022
USA	967
USA	858
USA	813
USA	781
USA	778
USA	710
USA	629
USA	621
USA	621
USA	565
USA	561
USA	546
USA	524
USA	520
USA	511
USA	506
USA	504
USA	502
USA	487
USA	476
USA	475
USA	473
USA	472
USA	460
USA	458
USA	427
USA	415
USA	399
USA	339
USA	338
USA	337
USA	332
USA	327
USA	326
USA	325
USA	317
USA	309
USA	307
USA	304
USA	300
USA	293
USA	290
USA	289
USA	288
USA	284
USA	282
USA	279
USA	274
USA	271
USA	258
USA	256
USA	256
USA	249
USA	248
USA	246
USA	245
USA	236
USA	232
USA	210
USA	210
USA	204
USA	201
USA	198
USA	192
USA	188
USA	186
USA	183
USA	174
USA	173
USA	172
USA	171
USA	169
USA	169
USA	167
USA	164
USA	161
USA	160
USA	160
USA	157
USA	156
USA	156
USA	155
USA	154
USA	153
USA	152
USA	152
USA	149
USA	144
USA	142
USA	141
USA	141
USA	138
USA	137
USA	136
USA	134
USA	129
USA	128
USA	126
USA	124
USA	124
USA	122
USA	122
USA	121
USA	120
USA	120
USA	119
USA	118
USA	117
USA	117
USA	116
USA	116
USA	115
USA	114
USA	113
USA	113
USA	113
USA	112
USA	111
USA	111
USA	109
USA	109
USA	109
USA	108
USA	108
USA	107
USA	107
USA	107
USA	106
USA	104
USA	104
USA	103
USA	102
USA	102
USA	100
USA	99
USA	97
USA	97
USA	97
USA	95
USA	95
USA	94
USA	94
USA	93
USA	93
USA	92
USA	91
USA	91
USA	90
USA	89
USA	89
USA	87
USA	87
USA	87
USA	87
USA	87
USA	86
USA	86
USA	84
USA	84
USA	81
USA	80
USA	79
USA	79
USA	79
USA	79
USA	78
USA	77
USA	76
USA	76
USA	75
USA	75
USA	74
USA	73
USA	73
USA	72
USA	70
USA	70
USA	70
USA	70
USA	70
USA	69
USA	68
USA	68
USA	68
USA	68
USA	68
USA	68
USA	68
USA	67
USA	67
USA	67
USA	67
USA	66
USA	65
USA	65
USA	64
USA	64
USA	64
USA	63
USA	63
USA	63
USA	62
USA	62
USA	62
USA	62
USA	62
USA	62
USA	62
USA	61
USA	61
USA	61
USA	61
USA	61
USA	60
USA	60
USA	60
USA	60
USA	60
USA	59
USA	58
USA	58
USA	58
USA	58
USA	57
