Country	total	processed	in_tree	new
Angola	1912	1912	622	0
Argentina	415	407	0	8
Australia	16428	15234	13009	1194
Austria	20724	3388	201	17336
Bangladesh	796	678	249	118
Belgium	352	80	29	272
Bermuda	123	13	0	110
Bhutan	27	0	0	27
Botswana	53	52	37	1
Brazil	3056	2830	844	226
Bulgaria	6	0	0	6
Cameroon	1023	1023	456	0
Canada	5422	5418	4208	4
Chile	1621	416	370	1205
China	115	115	78	0
Colombia	1	1	1	0
Costa Rica	380	380	0	0
Croatia	30	28	19	2
Curacao	1	0	0	1
Denmark	14818	752	0	14066
Dominican Republic	7	7	1	0
Ecuador	642	0	0	642
Egypt	324	4	2	320
Estonia	30867	30139	19408	728
Eswatini	14	10	0	4
Ethiopia	1181	607	188	574
Finland	12053	12053	9632	0
France	3674	2073	1081	1601
Germany	14558	1666	700	12892
Ghana	1130	1077	952	53
Greece	1	1	0	0
Guatemala	6	0	0	6
Hong Kong	2876	2876	196	0
Hungary	20	20	19	0
India	18634	9515	7211	9119
Iraq	637	102	3	535
Israel	1452	1452	773	0
Italy	1480	1379	265	101
Japan	180	149	23	31
Jordan	294	294	254	0
Kenya	4	4	3	0
Kosovo	1	0	0	1
Kuwait	27	9	1	18
Latvia	2788	2788	1538	0
Lebanon	903	903	782	0
Liechtenstein	31	31	0	0
Malawi	1100	1098	367	2
Malaysia	13	13	5	0
Malta	10	10	6	0
Mauritius	2376	2376	643	0
Mexico	4334	1607	686	2727
Moldova	19	19	0	0
Morocco	3	3	2	0
Mozambique	1063	1063	426	0
Namibia	130	130	89	0
Netherlands	12119	11038	5051	1081
New Zealand	5	5	5	0
Northern Mariana Islands	2577	2559	8	18
Norway	22868	22820	4341	48
Pakistan	1225	1061	857	164
Palau	13	13	0	0
Peru	2	2	0	0
Philippines	51	48	43	3
Poland	2	0	0	2
Portugal	48362	44323	40823	4039
Qatar	139	130	87	9
Romania	17	17	7	0
Russia	525	525	326	0
Rwanda	192	192	180	0
Saudi Arabia	43	12	0	31
Senegal	197	0	0	197
Seychelles	82	82	77	0
Singapore	63	63	0	0
Slovakia	39970	37108	27416	2862
Slovenia	614	0	0	614
South Africa	24194	20127	9051	4067
South Korea	1	0	0	1
Spain	3458	184	49	3274
Sri Lanka	1557	0	0	1557
Sweden	93	93	0	0
Switzerland	277	277	133	0
Thailand	1692	198	195	1494
Timor-Leste	21	21	13	0
UNKNOWN	47542	4860	7	42682
USA	2598845	2400421	1454510	198424
Uganda	192	191	67	1
United Kingdom	2665841	2635207	2351540	30634
Uruguay	90	90	41	0
Viet Nam	316	0	0	316
Zambia	1	0	0	1
Zimbabwe	1080	1080	498	0
