Run	Platform	Amplicon_scheme	ARTIC-ILM_ram	ARTIC-ONT_ram	Viridian_ram	ARTIC-ILM_wall_clock	ARTIC-ONT_wall_clock	Viridian_wall_clock	ARTIC-ILM_cpu	ARTIC-ONT_cpu	Viridian_cpu
ERR8959165	Nanopore	midnight-v2	NA	1.547	0.283	NA	200	93	NA	429.27	98.34
ERR8959186	Nanopore	artic-v4.1	NA	1.857	0.41	NA	319	134	NA	573.19	141.95
ERR8959211	Illumina	artic-v4.1	1.365	NA	0.264	141	NA	119	237.74	NA	116.7
ERR8959340	Nanopore	sispa	NA	NA	0.241	NA	NA	77	NA	NA	75.97
ERR8959167	Nanopore	midnight-v2	NA	1.261	0.159	NA	206	93	NA	432.0	104.22
ERR8959188	Nanopore	artic-v4.1	NA	1.821	0.247	NA	288	121	NA	535.81	130.28
ERR8959213	Illumina	artic-v4.1	1.234	NA	0.362	128	NA	118	224.23	NA	114.29
ERR8959342	Nanopore	sispa	NA	NA	0.242	NA	NA	69	NA	NA	67.02
ERR8959169	Nanopore	midnight-v2	NA	1.853	0.26	NA	177	84	NA	423.0	95.79
ERR8959191	Nanopore	artic-v4.1	NA	1.856	0.395	NA	362	171	NA	668.0	184.19
ERR8959214	Illumina	artic-v4.1	1.162	NA	0.246	127	NA	106	205.78	NA	114.74
ERR8959344	Nanopore	sispa	NA	NA	0.239	NA	NA	67	NA	NA	65.8
ERR8959176	Nanopore	midnight-v2	NA	1.388	0.31	NA	198	98	NA	428.56	110.69
ERR8959203	Nanopore	artic-v4.1	NA	1.884	0.389	NA	318	140	NA	591.84	155.59
ERR8959224	Illumina	artic-v4.1	1.205	NA	0.254	131	NA	114	231.63	NA	119.29
ERR8959346	Nanopore	sispa	NA	NA	0.242	NA	NA	73	NA	NA	78.15
ERR8959178	Nanopore	midnight-v2	NA	1.759	0.213	NA	201	102	NA	449.92	118.88
ERR8959205	Nanopore	artic-v4.1	NA	1.889	0.393	NA	284	126	NA	541.64	137.38
ERR8959227	Illumina	artic-v4.1	1.432	NA	0.356	135	NA	113	228.66	NA	120.75
ERR8959357	Nanopore	sispa	NA	NA	0.248	NA	NA	77	NA	NA	77.94
ERR8959170	Nanopore	midnight-v2	NA	1.726	0.284	NA	180	89	NA	423.71	104.73
ERR8959193	Nanopore	artic-v4.1	NA	1.853	0.3	NA	295	127	NA	575.42	142.57
ERR8959216	Illumina	artic-v4.1	1.42	NA	0.359	138	NA	121	243.29	NA	122.26
ERR8959348	Nanopore	sispa	NA	NA	0.238	NA	NA	63	NA	NA	75.33
ERR8959175	Nanopore	midnight-v2	NA	1.386	0.125	NA	149	56	NA	402.24	78.21
ERR8959201	Nanopore	artic-v4.1	NA	1.967	0.352	NA	323	147	NA	621.69	164.42
ERR8959222	Illumina	artic-v4.1	1.412	NA	0.378	136	NA	117	239.11	NA	120.86
ERR8959355	Nanopore	sispa	NA	NA	0.241	NA	NA	77	NA	NA	81.28
ERR8959180	Nanopore	midnight-v2	NA	1.896	0.296	NA	215	113	NA	474.39	135.99
ERR8959207	Nanopore	artic-v4.1	NA	1.952	0.213	NA	280	101	NA	532.53	122.75
ERR8959228	Illumina	artic-v4.1	1.202	NA	0.359	130	NA	108	224.15	NA	119.73
ERR8959359	Nanopore	sispa	NA	NA	0.227	NA	NA	68	NA	NA	80.18
ERR8959157	Nanopore	midnight-v2	NA	1.712	0.277	NA	177	84	NA	389.0	106.16
ERR8959184	Nanopore	artic-v4.1	NA	2.013	0.378	NA	293	125	NA	551.58	141.96
ERR8959209	Illumina	artic-v4.1	1.192	NA	0.364	138	NA	110	243.86	NA	120.9
ERR8959337	Nanopore	sispa	NA	NA	0.245	NA	NA	62	NA	NA	69.26
ERR8959182	Nanopore	midnight-v2	NA	1.383	0.215	NA	194	94	NA	424.19	110.02
ERR8959230	Illumina	artic-v4.1	1.274	NA	0.362	130	NA	106	231.22	NA	118.01
ERR8959361	Nanopore	sispa	NA	NA	0.2	NA	NA	67	NA	NA	72.05
ERR8959172	Nanopore	midnight-v2	NA	1.269	0.282	NA	168	81	NA	414.12	98.71
ERR8959196	Nanopore	artic-v4.1	NA	2.049	0.369	NA	323	153	NA	611.11	166.72
ERR8959218	Illumina	artic-v4.1	1.397	NA	0.4	146	NA	113	237.92	NA	120.88
ERR8959351	Nanopore	sispa	NA	NA	0.24	NA	NA	74	NA	NA	82.2
ERR8959173	Nanopore	midnight-v2	NA	1.684	0.276	NA	189	85	NA	419.44	108.26
ERR8959198	Nanopore	artic-v4.1	NA	1.868	0.434	NA	306	137	NA	585.64	155.4
ERR8959220	Illumina	artic-v4.1	1.523	NA	0.254	141	NA	106	240.72	NA	119.9
ERR8959353	Nanopore	sispa	NA	NA	0.236	NA	NA	69	NA	NA	73.63
ERR9362079	Nanopore	artic-v3	NA	1.928	0.382	NA	280	101	NA	516.3	117.54
ERR9362080	Illumina	artic-v3	1.784	NA	0.758	406	NA	210	642.03	NA	218.79
ERR9362081	Nanopore	artic-v3	NA	1.741	0.411	NA	357	155	NA	668.23	177.56
ERR9362082	Illumina	artic-v3	1.581	NA	0.648	370	NA	200	585.4	NA	213.6
ERR9362083	Nanopore	artic-v3	NA	1.923	0.251	NA	311	126	NA	623.63	146.74
ERR9362084	Illumina	artic-v3	1.637	NA	0.545	273	NA	151	429.84	NA	164.73
ERR9362085	Nanopore	artic-v3	NA	1.92	0.185	NA	228	74	NA	507.18	92.35
ERR9362086	Illumina	artic-v3	1.282	NA	0.32	196	NA	117	310.0	NA	131.01
ERR9362087	Nanopore	artic-v3	NA	1.967	0.38	NA	376	166	NA	708.24	179.39
ERR9362088	Illumina	artic-v3	1.688	NA	0.649	335	NA	179	519.87	NA	193.96
ERR9362089	Nanopore	artic-v3	NA	2.043	0.595	NA	376	183	NA	727.67	203.88
ERR9362090	Illumina	artic-v3	1.458	NA	0.544	278	NA	158	434.05	NA	171.72
ERR9362091	Nanopore	artic-v3	NA	2.442	1.598	NA	638	421	NA	1080.74	436.9
ERR9362092	Illumina	artic-v3	1.476	NA	0.548	282	NA	158	433.41	NA	165.69
ERR9362093	Nanopore	artic-v3	NA	2.076	0.801	NA	518	323	NA	915.0	336.33
ERR9362094	Illumina	artic-v3	1.319	NA	0.327	211	NA	133	328.53	NA	137.66
ERR9362095	Nanopore	artic-v3	NA	1.929	0.8	NA	372	257	NA	729.43	272.39
ERR9362096	Illumina	artic-v3	1.358	NA	0.334	208	NA	129	323.11	NA	139.02
ERR9362097	Nanopore	artic-v3	NA	1.833	0.745	NA	234	170	NA	555.33	175.92
ERR9362098	Illumina	artic-v3	1.465	NA	0.553	282	NA	154	444.55	NA	159.98
ERR9362099	Nanopore	artic-v3	NA	2.014	0.682	NA	232	145	NA	570.41	155.57
ERR9362100	Illumina	artic-v3	1.785	NA	0.758	421	NA	220	641.16	NA	226.79
ERR9362101	Nanopore	artic-v3	NA	1.471	0.937	NA	259	224	NA	592.0	235.33
ERR9362102	Illumina	artic-v3	1.532	NA	0.549	306	NA	166	475.94	NA	174.35
ERR9362103	Nanopore	artic-v3	NA	1.372	0.63	NA	255	193	NA	577.34	205.57
ERR9362104	Illumina	artic-v3	1.507	NA	0.548	295	NA	158	459.17	NA	172.03
