region	sample_count
Australia	11730
Australia	287
Australia	262
Australia	190
Australia	151
Australia	99
Australia	75
Australia	37
Australia	36
Australia	24
Australia	24
Australia	16
Australia	14
Australia	12
Australia	11
Australia	9
Australia	9
Australia	8
Australia	7
Australia	7
Australia	7
Australia	6
Australia	6
Australia	6
Australia	6
Australia	6
Australia	5
Australia	5
Australia	5
Australia	5
Australia	5
Australia	4
Australia	4
Australia	4
Australia	4
Australia	4
Australia	4
Australia	3
Australia	3
Australia	3
Australia	3
Australia	3
Australia	3
Australia	3
Australia	3
Australia	3
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	2
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
Australia	1
USA	275418
USA	269672
USA	102437
USA	99042
USA	44319
USA	16505
USA	15340
USA	10409
USA	7769
USA	7275
USA	6772
USA	6620
USA	6554
USA	4588
USA	4507
USA	3079
USA	2856
USA	2392
USA	2217
USA	1800
USA	1772
USA	1696
USA	1332
USA	1264
USA	1218
USA	1205
USA	1168
USA	1059
USA	1040
USA	1004
USA	999
USA	983
USA	923
USA	910
USA	845
USA	731
USA	724
USA	713
USA	662
USA	633
USA	577
USA	571
USA	546
USA	541
USA	528
USA	527
USA	523
USA	516
USA	514
USA	511
USA	494
USA	486
USA	485
USA	430
USA	427
USA	364
USA	357
USA	353
USA	348
USA	343
USA	342
USA	333
USA	332
USA	331
USA	320
USA	320
USA	319
USA	314
USA	314
USA	308
USA	305
USA	298
USA	296
USA	295
USA	292
USA	288
USA	283
USA	275
USA	271
USA	268
USA	265
USA	262
USA	261
USA	259
USA	251
USA	240
USA	237
USA	236
USA	230
USA	226
USA	226
USA	225
USA	223
USA	223
USA	221
USA	220
USA	206
USA	205
USA	203
USA	200
USA	198
USA	197
USA	196
USA	191
USA	188
USA	186
USA	183
USA	180
USA	178
USA	178
USA	174
USA	172
USA	171
USA	166
USA	165
USA	164
USA	163
USA	160
USA	157
USA	157
USA	155
USA	155
USA	151
USA	146
USA	145
USA	144
USA	143
USA	139
USA	137
USA	136
USA	134
USA	133
USA	133
USA	131
USA	130
USA	130
USA	129
USA	126
USA	126
USA	125
USA	124
USA	122
USA	122
USA	122
USA	121
USA	120
USA	117
USA	116
USA	116
USA	116
USA	115
USA	115
USA	115
USA	114
USA	113
USA	113
USA	112
USA	111
USA	111
USA	110
USA	109
USA	107
USA	106
USA	105
USA	104
USA	104
USA	104
USA	103
USA	103
USA	102
USA	102
USA	102
USA	101
USA	101
USA	100
USA	100
USA	100
USA	99
USA	97
USA	97
USA	97
USA	95
USA	95
USA	95
USA	95
USA	94
USA	94
USA	94
USA	94
USA	93
USA	92
USA	92
USA	92
USA	90
USA	89
USA	88
USA	88
USA	87
USA	87
USA	87
USA	86
USA	86
USA	85
USA	85
USA	84
USA	84
USA	84
USA	83
USA	82
USA	80
USA	79
USA	79
USA	79
USA	78
USA	78
USA	77
USA	77
USA	77
USA	76
USA	76
USA	75
USA	75
USA	75
USA	75
USA	75
USA	74
USA	74
USA	72
USA	72
USA	72
USA	71
USA	71
USA	71
USA	71
USA	70
USA	70
USA	69
USA	69
USA	68
USA	68
USA	67
USA	66
USA	66
USA	66
USA	66
USA	65
USA	65
USA	65
USA	65
USA	65
USA	64
USA	64
USA	64
USA	64
USA	63
USA	63
USA	62
USA	62
USA	62
USA	62
USA	62
USA	61
USA	61
USA	61
USA	60
USA	59
USA	59
USA	59
USA	59
USA	58
USA	58
USA	57
USA	57
USA	57
USA	57
USA	56
USA	56
USA	56
USA	56
USA	55
USA	55
USA	55
USA	54
USA	54
USA	54
USA	53
USA	53
USA	53
USA	52
USA	52
USA	52
USA	51
USA	51
USA	51
USA	51
USA	51
USA	50
USA	50
USA	50
USA	50
USA	50
USA	49
USA	49
USA	48
USA	48
USA	48
USA	48
USA	48
USA	48
USA	47
USA	47
USA	47
USA	47
USA	47
USA	47
USA	46
USA	46
USA	46
USA	46
USA	46
USA	46
USA	46
USA	46
USA	46
USA	46
USA	45
USA	45
USA	45
USA	45
USA	45
USA	45
USA	45
USA	45
USA	44
USA	44
USA	44
USA	44
USA	44
USA	44
USA	43
USA	43
USA	43
USA	43
USA	43
USA	42
USA	42
USA	42
USA	42
USA	42
USA	42
USA	42
USA	41
USA	41
USA	41
USA	41
USA	41
USA	41
USA	40
USA	40
USA	40
USA	40
USA	40
USA	39
USA	39
USA	39
USA	39
USA	39
USA	39
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	38
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	37
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	36
USA	35
USA	35
USA	35
USA	35
USA	35
USA	35
USA	35
USA	35
USA	35
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	34
USA	33
USA	33
USA	33
USA	33
USA	33
USA	33
