country	cluster_size	cumulative_samples
Lebanon	1	34
Lebanon	2	68
Lebanon	3	86
Lebanon	4	98
Lebanon	6	116
Lebanon	10	126
Lebanon	11	137
Lebanon	13	150
Lebanon	14	164
Lebanon	19	183
Lebanon	599	782
Zimbabwe	1	5
Zimbabwe	2	13
Zimbabwe	3	16
Zimbabwe	4	20
Zimbabwe	5	30
Zimbabwe	6	42
Zimbabwe	10	52
Zimbabwe	29	81
Australia	1	70
Australia	2	120
Australia	3	144
Australia	4	176
Australia	5	211
Australia	6	223
Australia	7	230
Australia	8	246
Australia	10	266
Australia	13	279
Australia	14	307
Australia	15	322
Australia	21	343
Australia	23	366
Australia	67	433
Australia	93	526
Australia	121	647
Australia	169	816
Australia	234	1050
Australia	261	1311
Australia	10998	12309
Canada	1	4
Belgium	1	1
USA	1	7281
USA	2	13805
USA	3	17729
USA	4	20745
USA	5	22805
USA	6	24527
USA	7	26025
USA	8	27177
USA	9	28284
USA	10	29504
USA	11	30439
USA	12	31447
USA	13	32123
USA	14	32795
USA	15	33560
USA	16	34280
USA	17	34739
USA	18	35333
USA	19	35884
USA	20	36724
USA	21	37333
USA	22	37773
USA	23	38187
USA	24	38595
USA	25	39020
USA	26	39410
USA	27	39815
USA	28	40207
USA	29	40613
USA	30	41303
USA	31	41489
USA	32	41745
USA	33	42009
USA	34	42281
USA	35	42736
USA	36	43024
USA	37	43246
USA	38	43588
USA	39	43822
USA	40	43982
USA	41	44187
USA	42	44565
USA	43	44737
USA	44	45089
USA	45	45269
USA	46	45729
USA	47	45917
USA	48	46061
USA	49	46306
USA	50	46606
USA	51	46912
USA	52	47120
USA	53	47385
USA	54	47493
USA	55	47823
USA	56	48047
USA	57	48218
USA	58	48566
USA	59	48684
USA	60	48864
USA	61	49047
USA	62	49295
USA	63	49421
USA	64	49869
USA	65	50064
USA	66	50262
USA	67	50530
USA	68	50666
USA	70	50876
USA	71	51018
USA	72	51090
USA	73	51382
USA	74	51456
USA	75	51606
USA	76	51682
USA	77	51836
USA	78	51914
USA	79	52309
USA	80	52389
USA	81	52470
USA	82	52552
USA	83	52718
USA	84	52970
USA	85	53310
USA	86	53568
USA	88	53832
USA	89	54010
USA	90	54190
USA	91	54281
USA	92	54373
USA	93	54466
USA	94	54560
USA	95	54655
USA	96	54751
USA	97	55236
USA	98	55432
USA	100	55732
USA	102	55936
USA	103	56039
USA	106	56145
USA	107	56359
USA	108	56791
USA	110	57121
USA	111	57343
USA	113	57456
USA	114	57684
USA	115	58144
USA	117	58378
USA	118	58496
USA	119	58734
USA	121	58855
USA	122	59221
USA	123	59344
USA	130	59474
USA	131	59998
USA	132	60130
USA	133	60263
USA	136	60535
USA	138	60673
USA	139	60812
USA	140	61092
USA	143	61235
USA	144	61379
USA	149	61677
USA	151	61828
USA	152	62284
USA	154	62438
USA	156	62594
USA	160	62914
USA	166	63246
USA	167	63413
USA	169	63751
USA	170	63921
USA	183	64104
USA	186	64476
USA	190	64666
USA	191	64857
USA	195	65052
USA	198	65448
USA	209	65657
USA	211	65868
USA	214	66082
USA	223	66528
USA	226	66754
USA	230	66984
USA	231	67215
USA	232	67447
USA	241	67688
USA	244	67932
USA	245	68177
USA	249	68426
USA	255	68681
USA	259	68940
USA	262	69202
USA	274	69750
USA	279	70029
USA	280	70309
USA	289	70598
USA	292	70890
USA	300	71490
USA	301	71791
USA	312	72103
USA	323	72426
USA	324	72750
USA	325	73075
USA	338	73413
USA	339	73752
USA	343	74095
USA	344	74439
USA	350	74789
USA	354	75143
USA	357	75500
USA	370	75870
USA	413	76283
USA	415	76698
USA	426	77124
USA	473	77597
USA	476	78073
USA	479	78552
USA	487	79039
USA	493	79532
USA	501	80033
USA	505	80538
USA	511	81560
USA	530	82090
USA	550	82640
USA	608	83248
USA	613	83861
USA	622	84483
USA	625	85108
USA	669	85777
USA	688	86465
USA	700	87165
USA	738	87903
USA	829	88732
USA	899	89631
USA	936	90567
USA	958	91525
