country	cluster_size	cumulative_samples
USA	1	6676
USA	2	12328
USA	3	15832
USA	4	18560
USA	5	20495
USA	6	22181
USA	7	23476
USA	8	24556
USA	9	25654
USA	10	26654
USA	11	27435
USA	12	28251
USA	13	29070
USA	14	29770
USA	15	30505
USA	16	31289
USA	17	31799
USA	18	32447
USA	19	32998
USA	20	33738
USA	21	34179
USA	22	34729
USA	23	35189
USA	24	35549
USA	25	35974
USA	26	36364
USA	27	36823
USA	28	37243
USA	29	37736
USA	30	38246
USA	31	38432
USA	32	38912
USA	33	39209
USA	34	39379
USA	35	39659
USA	36	39875
USA	37	40134
USA	38	40286
USA	39	40520
USA	40	40800
USA	41	41128
USA	42	41338
USA	43	41424
USA	44	41688
USA	45	41823
USA	46	42191
USA	47	42379
USA	48	42427
USA	49	42574
USA	50	42824
USA	51	42926
USA	52	43186
USA	54	43348
USA	55	43678
USA	56	43846
USA	57	44131
USA	58	44363
USA	59	44422
USA	60	44722
USA	61	45027
USA	62	45461
USA	63	45650
USA	64	45842
USA	65	45972
USA	66	46038
USA	67	46306
USA	68	46782
USA	69	46851
USA	70	47201
USA	72	47273
USA	73	47419
USA	74	47493
USA	75	47643
USA	76	47795
USA	77	47872
USA	78	47950
USA	79	48266
USA	80	48346
USA	81	48427
USA	84	48595
USA	86	48767
USA	87	49202
USA	89	49380
USA	90	49470
USA	91	49652
USA	92	49744
USA	93	49930
USA	94	50118
USA	95	50308
USA	97	50599
USA	99	50698
USA	100	50798
USA	102	51002
USA	103	51105
USA	104	51313
USA	106	51419
USA	107	51740
USA	108	51956
USA	109	52283
USA	111	52505
USA	112	52617
USA	113	52956
USA	114	53070
USA	115	53185
USA	116	53417
USA	117	53651
USA	118	53769
USA	119	53888
USA	120	54128
USA	121	54249
USA	122	54493
USA	124	54741
USA	126	54867
USA	128	54995
USA	129	55124
USA	134	55258
USA	136	55394
USA	137	55531
USA	138	55669
USA	141	55951
USA	142	56093
USA	144	56237
USA	149	56386
USA	152	56690
USA	153	56843
USA	154	56997
USA	155	57152
USA	156	57464
USA	157	57621
USA	160	57941
USA	161	58102
USA	164	58266
USA	167	58433
USA	169	58771
USA	171	58942
USA	172	59114
USA	173	59287
USA	174	59461
USA	183	59644
USA	186	59830
USA	188	60018
USA	192	60210
USA	198	60408
USA	201	60609
USA	204	60813
USA	210	61233
USA	232	61465
USA	236	61701
USA	245	61946
USA	246	62192
USA	248	62440
USA	249	62689
USA	256	63201
USA	258	63459
USA	271	63730
USA	274	64004
USA	279	64283
USA	282	64565
USA	284	64849
USA	288	65137
USA	289	65426
USA	290	65716
USA	293	66009
USA	300	66309
USA	304	66613
USA	307	66920
USA	309	67229
USA	317	67546
USA	325	67871
USA	326	68197
USA	327	68524
USA	332	68856
USA	337	69193
USA	338	69531
USA	339	69870
USA	399	70269
USA	415	70684
USA	427	71111
USA	458	71569
USA	460	72029
USA	472	72501
USA	473	72974
USA	475	73449
USA	476	73925
USA	487	74412
USA	502	74914
USA	504	75418
USA	506	75924
USA	511	76435
USA	520	76955
USA	524	77479
USA	546	78025
USA	561	78586
USA	565	79151
USA	621	80393
USA	629	81022
USA	710	81732
USA	778	82510
USA	781	83291
USA	813	84104
USA	858	84962
USA	967	85929
USA	1022	86951
USA	1065	88016
USA	1125	89141
USA	1139	90280
USA	1209	91489
USA	1240	92729
