Support	Internal_node	Leaf_node
0	14154	27483
1	5082	9053
2	4027	6849
3	3979	6198
4	4255	5386
5	4169	5386
6	4190	4649
7	4219	4844
8	3889	3838
9	4123	5326
10	3167	3373
11	3090	4582
12	3470	5948
13	2172	2040
14	2995	5370
15	1887	1465
16	3915	7557
17	1068	1187
18	1454	1295
19	4094	8655
20	3654	6971
21	1088	864
22	1186	999
23	1737	2283
24	4042	9037
25	5657	11519
26	1195	869
27	751	662
28	771	731
29	1176	1117
30	2185	2979
31	1384	1943
32	1377	1826
33	16879	38708
34	580	624
35	431	935
36	280	352
37	812	931
38	315	326
39	532	624
40	475	361
41	1067	1128
42	813	809
43	625	716
44	2997	4635
45	356	460
46	2365	3036
47	1124	1425
48	1270	1560
49	13436	28258
50	45153	90789
51	441	655
52	298	339
53	96	199
54	179	898
55	149	195
56	160	221
57	169	234
58	173	247
59	287	220
60	209	160
61	197	136
62	296	359
63	97	99
64	281	306
65	228	187
66	434	352
67	112	79
68	113	135
69	79	90
70	302	379
71	546	535
72	352	399
73	277	409
74	202	257
75	386	428
76	177	204
77	340	268
78	330	283
79	2290	3814
80	4197	5888
81	210	150
82	134	149
83	165	157
84	105	118
85	90	88
86	87	159
87	4209	5406
88	568	621
89	127	155
90	2046	2645
91	209	238
92	1319	1585
93	658	794
94	574	706
95	483	481
96	295	314
97	217	284
98	190	676
99	35093	80515
100	495421	932757
