Country	clade size	Number of clades (GB)	Number of Clades (Vir)	Difference in Clade Count (GB-Vir)	Percent Difference (Difference/GB Clade Count)  
USA	276438	1	0	1	1.0
USA	85961	1	0	1	1.0
USA	81935	1	0	1	1.0
USA	59015	1	0	1	1.0
USA	44340	1	0	1	1.0
USA	41372	1	0	1	1.0
USA	28300	1	0	1	1.0
USA	26157	1	0	1	1.0
USA	23609	1	0	1	1.0
USA	22901	1	0	1	1.0
USA	22280	1	0	1	1.0
USA	21702	1	0	1	1.0
USA	18998	1	0	1	1.0
USA	17495	1	0	1	1.0
USA	16383	1	0	1	1.0
USA	11145	1	0	1	1.0
USA	8932	1	0	1	1.0
USA	7426	1	0	1	1.0
USA	7310	1	0	1	1.0
USA	6596	1	0	1	1.0
USA	6364	1	0	1	1.0
USA	5764	1	0	1	1.0
USA	5755	1	0	1	1.0
USA	3867	1	0	1	1.0
USA	3296	1	0	1	1.0
USA	3266	1	0	1	1.0
USA	2857	1	0	1	1.0
USA	2668	1	0	1	1.0
USA	2235	1	0	1	1.0
USA	1957	1	0	1	1.0
...
USA	30	16	14	2	0.125
USA	29	17	24	-7	-0.4117647058823529
USA	28	26	22	4	0.15384615384615385
USA	27	14	28	-14	-1.0
USA	26	29	24	5	0.1724137931034483
USA	25	19	17	2	0.10526315789473684
USA	24	20	27	-7	-0.35
USA	23	34	25	9	0.2647058823529412
USA	22	31	30	1	0.03225806451612903
USA	21	36	50	-14	-0.3888888888888889
USA	20	32	48	-16	-0.5
USA	19	52	47	5	0.09615384615384616
USA	18	38	42	-4	-0.10526315789473684
USA	17	30	39	-9	-0.3
USA	16	55	65	-10	-0.18181818181818182
USA	15	57	78	-21	-0.3684210526315789
USA	14	57	69	-12	-0.21052631578947367
USA	13	77	84	-7	-0.09090909090909091
USA	12	99	102	-3	-0.030303030303030304
USA	11	103	110	-7	-0.06796116504854369
USA	10	179	160	19	0.10614525139664804
USA	9	151	168	-17	-0.11258278145695365
USA	8	175	180	-5	-0.02857142857142857
USA	7	257	267	-10	-0.038910505836575876
USA	6	390	375	15	0.038461538461538464
USA	5	498	496	2	0.004016064257028112
USA	4	884	852	32	0.03619909502262444
USA	3	1669	1477	192	0.11503894547633313
USA	2	4245	3446	799	0.18822143698468788
USA	1	8963	8055	908	0.10130536650674997
