Country	clade size	Number of clades (GB)	Number of Clades (Vir)	Difference in Clade Count (GB-Vir)	Percent Difference (Difference/GB Clade Count)  
USA	276438	1	0	1	1.0
USA	85961	1	0	1	1.0
USA	81935	1	0	1	1.0
USA	59015	1	0	1	1.0
USA	44340	1	0	1	1.0
USA	41372	1	0	1	1.0
USA	28300	1	0	1	1.0
USA	26157	1	0	1	1.0
USA	23609	1	0	1	1.0
USA	22901	1	0	1	1.0
USA	22280	1	0	1	1.0
USA	21702	1	0	1	1.0
USA	18998	1	0	1	1.0
USA	17495	1	0	1	1.0
USA	16383	1	0	1	1.0
USA	11145	1	0	1	1.0
USA	8932	1	0	1	1.0
USA	7426	1	0	1	1.0
USA	7310	1	0	1	1.0
USA	6596	1	0	1	1.0
USA	6364	1	0	1	1.0
USA	5764	1	0	1	1.0
USA	5755	1	0	1	1.0
USA	3867	1	0	1	1.0
USA	3296	1	0	1	1.0
USA	3266	1	0	1	1.0
USA	2857	1	0	1	1.0
USA	2668	1	0	1	1.0
USA	2235	1	0	1	1.0
USA	1957	1	0	1	1.0
USA	1773	1	0	1	1.0
USA	1757	1	0	1	1.0
USA	1332	1	0	1	1.0
USA	1305	1	1	0	0.0
USA	1287	1	0	1	1.0
USA	1282	1	0	1	1.0
USA	1235	1	0	1	1.0
USA	1232	1	0	1	1.0
USA	1158	1	0	1	1.0
USA	1152	1	0	1	1.0
USA	1147	1	0	1	1.0
USA	1119	1	0	1	1.0
USA	1081	2	0	2	1.0
USA	1009	1	0	1	1.0
USA	1001	1	0	1	1.0
USA	977	1	0	1	1.0
USA	924	1	0	1	1.0
USA	922	1	0	1	1.0
USA	870	1	0	1	1.0
USA	861	1	0	1	1.0
USA	846	1	0	1	1.0
USA	828	1	0	1	1.0
USA	711	1	0	1	1.0
USA	708	1	0	1	1.0
USA	706	1	0	1	1.0
USA	693	1	0	1	1.0
USA	691	1	0	1	1.0
USA	675	1	2	-1	-1.0
USA	642	1	0	1	1.0
USA	573	1	0	1	1.0
USA	559	1	0	1	1.0
USA	543	1	1	0	0.0
USA	532	1	0	1	1.0
USA	528	1	0	1	1.0
USA	519	2	0	2	1.0
USA	515	1	0	1	1.0
USA	505	1	0	1	1.0
USA	495	1	0	1	1.0
USA	493	1	0	1	1.0
USA	491	1	0	1	1.0
USA	488	2	0	2	1.0
