country	cluster_size	cumulative_samples
Canada	1	4
Zimbabwe	1	6
Zimbabwe	2	12
Zimbabwe	3	18
Zimbabwe	4	26
Zimbabwe	5	31
Zimbabwe	6	43
Zimbabwe	7	50
Zimbabwe	8	58
Zimbabwe	40	98
Lebanon	1	38
Lebanon	2	66
Lebanon	3	93
Lebanon	4	109
Lebanon	5	119
Lebanon	7	126
Lebanon	10	136
Lebanon	13	149
Lebanon	21	170
Lebanon	36	206
Lebanon	663	869
South Africa	1	50
South Africa	2	70
South Africa	4	82
South Africa	5	92
South Africa	14	106
South Africa	20	126
Mexico	1	39
Mexico	2	47
Mexico	6	53
Mexico	7	67
Mexico	9	76
Mexico	11	87
Mexico	67	154
Estonia	1	2
Pakistan	1	136
Pakistan	2	200
Pakistan	3	245
Pakistan	4	269
Pakistan	5	289
Pakistan	6	301
Pakistan	11	312
Pakistan	23	335
Pakistan	65	400
France	1	106
France	2	192
France	3	249
France	4	293
France	5	343
France	6	379
France	7	386
France	8	426
France	9	444
France	10	464
France	11	519
France	12	531
France	14	587
France	15	602
France	17	619
France	18	655
France	20	675
France	21	717
France	27	744
France	33	777
France	40	817
France	53	870
France	61	931
France	75	1006
France	79	1085
Belgium	1	2
Netherlands	1	2
Kuwait	1	2
Northern Mariana Islands	1	6
Qatar	1	1
Australia	1	64
Australia	2	132
Australia	3	159
Australia	4	191
Australia	5	211
Australia	6	235
Australia	7	242
Australia	8	250
Australia	10	260
Australia	11	271
Australia	12	283
Australia	14	297
Australia	16	313
Australia	24	337
Australia	26	363
Australia	41	404
Australia	74	478
Australia	99	577
Australia	149	726
Australia	151	877
Australia	162	1039
Australia	190	1229
Australia	280	1509
Australia	300	1809
Australia	11448	13257
United Kingdom	1	6470
United Kingdom	2	12130
United Kingdom	3	15184
United Kingdom	4	17436
United Kingdom	5	19241
United Kingdom	6	20675
United Kingdom	7	22068
United Kingdom	8	23060
United Kingdom	9	23852
United Kingdom	10	24832
United Kingdom	11	25668
United Kingdom	12	26388
United Kingdom	13	27129
United Kingdom	14	27801
United Kingdom	15	28251
United Kingdom	16	28827
United Kingdom	17	29371
United Kingdom	18	30037
United Kingdom	19	30512
United Kingdom	20	31032
United Kingdom	21	31494
United Kingdom	22	31846
United Kingdom	23	32099
United Kingdom	24	32435
United Kingdom	25	32735
United Kingdom	26	33073
United Kingdom	27	33235
United Kingdom	28	33655
United Kingdom	29	34003
United Kingdom	30	34183
United Kingdom	31	34431
United Kingdom	32	34719
United Kingdom	33	34950
United Kingdom	34	35086
United Kingdom	35	35331
United Kingdom	36	35439
United Kingdom	37	35661
United Kingdom	38	35775
United Kingdom	39	36126
United Kingdom	40	36366
United Kingdom	41	36448
United Kingdom	42	36574
United Kingdom	43	36746
United Kingdom	44	36966
United Kingdom	45	37056
United Kingdom	46	37240
United Kingdom	47	37428
United Kingdom	48	37524
United Kingdom	49	37818
United Kingdom	50	38218
United Kingdom	51	38269
United Kingdom	52	38477
United Kingdom	53	38530
United Kingdom	54	38746
United Kingdom	55	38911
United Kingdom	56	39023
United Kingdom	57	39194
United Kingdom	59	39371
United Kingdom	60	39431
United Kingdom	61	39553
United Kingdom	62	39615
United Kingdom	63	39678
United Kingdom	64	39742
United Kingdom	66	39874
United Kingdom	67	39941
United Kingdom	68	40077
United Kingdom	69	40146
United Kingdom	70	40286
United Kingdom	73	40432
United Kingdom	74	40506
United Kingdom	76	40658
United Kingdom	77	40735
United Kingdom	78	40891
United Kingdom	79	41049
United Kingdom	80	41129
United Kingdom	81	41291
United Kingdom	82	41373
United Kingdom	83	41539
United Kingdom	84	41623
United Kingdom	86	41795
United Kingdom	87	42056
United Kingdom	90	42146
United Kingdom	91	42237
United Kingdom	95	42522
United Kingdom	96	42618
United Kingdom	99	42915
United Kingdom	104	43123
United Kingdom	106	43335
United Kingdom	108	43551
United Kingdom	112	43663
United Kingdom	113	43776
United Kingdom	117	44010
United Kingdom	120	44250
United Kingdom	122	44372
United Kingdom	123	44495
United Kingdom	125	44745
United Kingdom	126	44871
United Kingdom	129	45000
United Kingdom	130	45130
United Kingdom	133	45263
United Kingdom	136	45399
United Kingdom	138	45537
United Kingdom	139	45676
United Kingdom	141	45817
United Kingdom	142	45959
United Kingdom	144	46247
United Kingdom	145	46537
United Kingdom	146	46683
United Kingdom	152	46835
United Kingdom	162	46997
United Kingdom	165	47162
United Kingdom	167	47329
United Kingdom	172	47501
United Kingdom	173	47674
United Kingdom	174	47848
United Kingdom	175	48023
United Kingdom	185	48208
United Kingdom	186	48394
United Kingdom	189	48583
United Kingdom	190	48963
United Kingdom	193	49156
United Kingdom	195	49351
United Kingdom	198	49549
United Kingdom	199	49748
United Kingdom	201	49949
United Kingdom	203	50152
United Kingdom	208	50360
United Kingdom	210	50570
United Kingdom	215	50785
United Kingdom	220	51005
United Kingdom	223	51228
United Kingdom	227	51455
United Kingdom	232	51687
United Kingdom	247	51934
United Kingdom	256	52190
United Kingdom	268	52458
United Kingdom	269	52727
United Kingdom	270	52997
United Kingdom	274	53271
United Kingdom	280	53831
United Kingdom	281	54112
United Kingdom	284	54396
United Kingdom	318	54714
United Kingdom	319	55033
United Kingdom	341	55374
United Kingdom	347	55721
United Kingdom	380	56101
United Kingdom	454	56555
United Kingdom	501	57056
United Kingdom	503	57559
United Kingdom	520	58079
United Kingdom	533	58612
United Kingdom	677	59289
United Kingdom	678	60645
United Kingdom	708	61353
United Kingdom	726	62079
United Kingdom	798	62877
United Kingdom	1005	63882
United Kingdom	1031	64913
United Kingdom	1611	66524
United Kingdom	1688	68212
United Kingdom	2137	70349
United Kingdom	2221	72570
United Kingdom	3233	75803
United Kingdom	3276	79079
United Kingdom	3947	83026
United Kingdom	4993	88019
United Kingdom	8109	96128
United Kingdom	9658	105786
United Kingdom	11575	117361
United Kingdom	15107	132468
United Kingdom	16297	148765
United Kingdom	27860	176625
United Kingdom	29890	206515
United Kingdom	67183	273698
United Kingdom	85617	359315
United Kingdom	129589	488904
United Kingdom	276471	765375
United Kingdom	278111	1043486
United Kingdom	294137	1337623
United Kingdom	926979	2264602
Iraq	1	1
Italy	1	1
Timor-Leste	1	1
USA	1	8963
USA	2	17453
USA	3	22460
USA	4	25996
USA	5	28486
USA	6	30826
USA	7	32625
USA	8	34025
USA	9	35384
USA	10	37174
USA	11	38307
USA	12	39495
USA	13	40496
USA	14	41294
USA	15	42149
USA	16	43029
USA	17	43539
USA	18	44223
USA	19	45211
USA	20	45851
USA	21	46607
USA	22	47289
USA	23	48071
USA	24	48551
USA	25	49026
USA	26	49780
USA	27	50158
USA	28	50886
USA	29	51379
USA	30	51859
USA	31	52293
USA	32	52805
USA	33	53300
USA	34	53640
USA	35	54165
USA	36	54633
USA	37	54929
USA	38	55309
USA	39	55582
USA	40	55782
USA	41	56192
USA	42	56696
USA	43	56911
USA	44	57351
USA	45	57576
USA	46	58220
USA	47	58549
USA	48	59077
USA	49	59273
USA	50	59573
USA	51	59828
USA	52	59984
USA	53	60249
USA	54	60465
USA	55	60630
USA	56	60798
USA	57	61140
USA	58	61488
USA	59	61724
USA	60	61964
USA	61	62391
USA	62	62577
USA	63	62892
USA	64	63276
USA	65	63536
USA	66	63734
USA	67	64002
USA	68	64138
USA	69	64414
USA	70	64694
USA	71	64907
USA	72	65195
USA	73	65268
USA	74	65416
USA	75	65866
USA	76	65942
USA	77	66096
USA	78	66174
USA	79	66332
USA	80	66412
USA	81	66574
USA	82	66820
USA	83	67069
USA	84	67321
USA	85	67491
USA	86	67577
USA	87	67838
USA	88	68014
USA	90	68104
USA	91	68286
USA	92	68378
USA	93	68657
USA	95	68752
USA	96	68944
USA	97	69041
USA	98	69629
USA	99	69728
USA	100	69828
USA	101	70030
USA	102	70540
USA	103	70643
USA	104	71059
USA	105	71269
USA	106	71375
USA	107	71589
USA	108	71697
USA	109	71915
USA	111	72248
USA	113	72361
USA	115	73051
USA	116	73283
USA	117	73400
USA	119	73876
USA	121	74118
USA	122	74240
USA	123	74363
USA	124	74983
USA	125	75233
USA	126	75485
USA	127	75612
USA	129	75741
USA	130	75871
USA	131	76002
USA	135	76272
USA	136	76408
USA	137	76545
USA	138	77097
USA	139	77375
USA	140	77515
USA	141	77656
USA	142	77798
USA	143	78084
USA	148	78232
USA	149	78381
USA	151	78532
USA	152	78836
USA	153	79448
USA	154	79756
USA	155	79911
USA	157	80225
USA	159	80384
USA	160	80544
USA	162	80706
USA	165	80871
USA	169	81040
USA	170	81210
USA	171	81552
USA	173	81725
USA	175	82075
USA	177	82252
USA	178	82430
USA	180	82610
USA	181	82791
USA	183	82974
USA	187	83161
USA	191	83352
USA	192	83544
USA	197	83741
USA	198	83939
USA	203	84142
USA	204	84550
USA	206	84756
USA	209	84965
USA	221	85186
USA	222	85408
USA	223	85631
USA	225	85856
USA	226	86082
USA	227	86309
USA	228	86537
USA	232	86769
USA	233	87002
USA	237	87239
USA	238	87477
USA	241	87718
USA	243	87961
USA	247	88208
USA	255	88463
USA	263	88989
USA	265	89254
USA	268	89522
USA	271	89793
USA	275	90068
USA	278	90346
USA	280	90626
USA	293	90919
USA	295	91214
USA	309	91523
USA	317	91840
USA	319	92159
USA	320	92479
USA	321	92800
USA	327	93127
USA	334	93461
USA	335	93796
USA	337	94133
USA	343	94476
USA	348	94824
USA	350	95174
USA	354	95528
USA	356	95884
USA	357	96241
USA	365	96606
USA	368	96974
USA	414	97388
USA	417	97805
USA	471	98276
USA	488	99252
USA	491	99743
USA	493	100236
USA	495	100731
USA	505	101236
USA	515	101751
USA	519	102789
USA	528	103317
USA	532	103849
USA	543	104392
USA	559	104951
USA	573	105524
USA	642	106166
USA	675	106841
USA	691	107532
USA	693	108225
USA	706	108931
USA	708	109639
USA	711	110350
USA	828	111178
USA	846	112024
USA	861	112885
USA	870	113755
USA	922	114677
USA	924	115601
USA	977	116578
USA	1001	117579
USA	1009	118588
USA	1081	120750
USA	1119	121869
USA	1147	123016
USA	1152	124168
USA	1158	125326
USA	1232	126558
USA	1235	127793
USA	1282	129075
USA	1287	130362
USA	1305	131667
USA	1332	132999
USA	1757	134756
USA	1773	136529
USA	1957	138486
USA	2235	140721
USA	2668	143389
USA	2857	146246
USA	3266	149512
USA	3296	152808
USA	3867	156675
USA	5755	162430
USA	5764	168194
USA	6364	174558
USA	6596	181154
USA	7310	188464
USA	7426	195890
USA	8932	204822
USA	11145	215967
USA	16383	232350
USA	17495	249845
USA	18998	268843
USA	21702	290545
USA	22280	312825
USA	22901	335726
USA	23609	359335
USA	26157	385492
USA	28300	413792
USA	41372	455164
USA	44340	499504
USA	59015	558519
USA	81935	640454
USA	85961	726415
USA	276438	1002853
India	1	8
India	2	14
India	3	29
India	4	33
India	5	38
India	9	47
India	34	81
India	39	120
Slovakia	1	2073
Slovakia	2	3677
Slovakia	3	4637
Slovakia	4	5337
Slovakia	5	5922
Slovakia	6	6444
Slovakia	7	6857
Slovakia	8	7169
Slovakia	9	7538
Slovakia	10	7778
Slovakia	11	7987
Slovakia	12	8239
Slovakia	13	8551
Slovakia	14	8705
Slovakia	15	8810
Slovakia	16	8970
Slovakia	17	9038
Slovakia	18	9254
Slovakia	19	9368
Slovakia	20	9448
Slovakia	21	9637
Slovakia	22	9769
Slovakia	23	9976
Slovakia	24	10072
Slovakia	25	10247
Slovakia	26	10325
Slovakia	27	10406
Slovakia	28	10546
Slovakia	30	10606
Slovakia	31	10668
Slovakia	32	10700
Slovakia	33	10766
Slovakia	34	10834
Slovakia	35	10869
Slovakia	36	10941
Slovakia	37	11052
Slovakia	38	11166
Slovakia	39	11283
Slovakia	40	11403
Slovakia	41	11485
Slovakia	42	11569
Slovakia	44	11613
Slovakia	45	11658
Slovakia	46	11750
Slovakia	47	11844
Slovakia	49	11893
Slovakia	50	12043
Slovakia	51	12094
Slovakia	53	12147
Slovakia	54	12201
Slovakia	55	12311
Slovakia	56	12479
Slovakia	57	12536
Slovakia	59	12595
Slovakia	60	12655
Slovakia	61	12716
Slovakia	63	12842
Slovakia	65	12907
Slovakia	67	12974
Slovakia	68	13042
Slovakia	69	13111
Slovakia	71	13182
Slovakia	73	13255
Slovakia	74	13329
Slovakia	76	13405
Slovakia	78	13483
Slovakia	83	13566
Slovakia	84	13650
Slovakia	85	13735
Slovakia	87	13822
Slovakia	88	13998
Slovakia	89	14087
Slovakia	97	14184
Slovakia	99	14283
Slovakia	106	14389
Slovakia	107	14496
Slovakia	108	14712
Slovakia	111	14823
Slovakia	116	14939
Slovakia	125	15064
Slovakia	130	15194
Slovakia	135	15329
Slovakia	139	15468
Slovakia	145	15613
Slovakia	146	15759
Slovakia	168	15927
Slovakia	197	16124
Slovakia	207	16331
Slovakia	326	16657
Slovakia	331	16988
Slovakia	341	17329
Slovakia	420	17749
Slovakia	551	18300
Slovakia	576	18876
Slovakia	846	19722
Slovakia	1012	20734
Slovakia	2025	22759
Slovakia	2424	25183
Slovakia	2558	27741
Jordan	1	3
Japan	1	1
Germany	1	30
Germany	2	38
Germany	3	47
Germany	4	51
Germany	13	64
Germany	21	85
Bangladesh	1	6
Bangladesh	12	18
Bangladesh	22	40
