country	cluster_size	cumulative_samples
USA	1	8055
USA	2	14947
USA	3	19378
USA	4	22786
USA	5	25266
USA	6	27516
USA	7	29385
USA	8	30825
USA	9	32337
USA	10	33937
USA	11	35147
USA	12	36371
USA	13	37463
USA	14	38429
USA	15	39599
USA	16	40639
USA	17	41302
USA	18	42058
USA	19	42951
USA	20	43911
USA	21	44961
USA	22	45621
USA	23	46196
USA	24	46844
USA	25	47269
USA	26	47893
USA	27	48649
USA	28	49265
USA	29	49961
USA	30	50381
USA	31	50815
USA	32	51679
USA	33	52174
USA	34	52820
USA	35	53310
USA	36	53814
USA	37	54443
USA	38	54671
USA	39	54983
USA	40	55463
USA	41	55955
USA	42	56417
USA	43	56804
USA	44	57244
USA	45	57694
USA	46	58292
USA	47	58715
USA	48	59099
USA	49	59393
USA	50	59643
USA	51	60000
USA	52	60364
USA	53	60682
USA	54	61006
USA	55	61171
USA	56	61507
USA	57	61621
USA	58	61969
USA	59	62323
USA	60	62683
USA	61	63110
USA	62	63482
USA	63	63734
USA	64	64182
USA	65	64897
USA	66	65161
USA	67	65295
USA	68	65703
USA	69	65910
USA	70	66120
USA	71	66546
USA	72	66834
USA	73	66907
USA	74	67203
USA	75	67428
USA	76	67580
USA	77	67965
USA	78	68277
USA	79	68435
USA	80	68595
USA	81	69000
USA	82	69164
USA	83	69496
USA	84	69664
USA	85	69834
USA	86	70092
USA	87	70179
USA	88	70619
USA	89	70708
USA	90	71158
USA	91	71340
USA	92	71432
USA	93	71711
USA	94	71899
USA	95	72184
USA	96	72472
USA	97	72666
USA	98	73156
USA	99	73255
USA	100	73355
USA	101	73456
USA	102	73558
USA	103	73867
USA	104	73971
USA	105	74391
USA	106	74709
USA	107	74816
USA	108	74924
USA	109	75469
USA	110	76239
USA	111	76461
USA	113	77139
USA	114	77595
USA	115	77825
USA	116	77941
USA	117	78292
USA	118	78410
USA	119	78529
USA	120	78769
USA	121	79011
USA	122	79133
USA	124	79505
USA	125	79755
USA	126	79881
USA	127	80135
USA	129	80393
USA	131	80655
USA	133	80788
USA	134	81056
USA	135	81191
USA	136	81327
USA	137	81601
USA	138	82015
USA	142	82157
USA	144	82445
USA	146	82591
USA	147	82885
USA	152	83037
USA	153	83190
USA	154	83498
USA	155	84118
USA	156	84274
USA	157	84431
USA	158	85063
USA	159	85222
USA	160	85382
USA	162	85706
USA	164	85870
USA	165	86365
USA	167	86532
USA	168	86868
USA	169	87037
USA	171	87550
USA	172	87722
USA	173	87895
USA	176	88071
USA	177	88425
USA	180	88605
USA	183	88971
USA	184	89155
USA	189	89344
USA	190	89534
USA	191	89916
USA	192	90300
USA	196	90692
USA	198	90890
USA	199	91288
USA	200	91488
USA	201	91689
USA	203	91892
USA	204	92300
USA	205	92505
USA	206	92711
USA	212	93135
USA	214	93563
USA	218	93781
USA	224	94005
USA	226	94231
USA	229	94460
USA	234	94694
USA	236	94930
USA	245	95175
USA	246	95421
USA	247	95668
USA	249	95917
USA	255	96172
USA	256	96428
USA	260	96688
USA	266	97220
USA	267	97754
USA	273	98027
USA	275	98302
USA	277	98579
USA	279	98858
USA	285	99143
USA	286	99429
USA	288	99717
USA	292	100009
USA	296	100305
USA	299	100604
USA	300	100904
USA	304	101208
USA	310	101828
USA	312	102140
USA	313	102453
USA	316	102769
USA	317	103403
USA	320	104043
USA	321	104364
USA	322	104686
USA	330	105016
USA	334	105350
USA	337	105687
USA	342	106029
USA	343	106715
USA	348	107063
USA	349	107412
USA	352	107764
USA	357	108478
USA	375	108853
USA	380	109233
USA	381	109614
USA	384	109998
USA	393	110391
USA	394	110785
USA	399	111184
USA	420	111604
USA	425	112029
USA	434	112463
USA	447	112910
USA	456	113366
USA	479	113845
USA	492	114337
USA	494	114831
USA	496	115327
USA	499	115826
USA	516	116342
USA	527	116869
USA	531	117400
USA	538	117938
USA	539	118477
USA	543	119020
USA	544	119564
USA	568	120132
